OCCUPANCY_DATE,SHELTER_NAME,SECTOR,OCCUPANCY,CAPACITY
2018-01-01,COSTI Reception Centre,Families,325,330
2018-01-01,COSTI Reception Centre,Co-ed,16,25
2018-01-01,COSTI Reception Centre,Families,319,400
2018-01-01,COSTI Reception Centre,Co-ed,16,16
2018-01-01,Christie Ossington Men's Hostel,Men,5,17
2018-01-01,Christie Ossington Men's Hostel,Men,63,63
2018-01-01,Christie Ossington Men's Hostel,Men,30,30
2018-01-01,Christie Refugee Welcome Centre,Women,0,4
2018-01-01,Christie Refugee Welcome Centre,Families,72,72
2018-01-01,Birchmount Residence,Men,51,60
2018-01-01,Birkdale Residence,Families,171,160
2018-01-01,Birkdale Residence,Families,176,205
2018-01-01,Birkdale Residence,Men,20,36
2018-01-01,Birkdale Residence,Co-ed,1,2
2018-01-01,Downsview Dells,Men,22,28
2018-01-01,Family Residence,Co-ed,0,0
2018-01-01,Family Residence,Families,216,252
2018-01-01,Family Residence,Families,56,48
2018-01-01,Family Residence,Families,172,110
2018-01-01,Family Residence,Families,52,50
2018-01-01,Family Residence,Families,103,125
2018-01-01,Fort York Residence,Co-ed,21,21
2018-01-01,Fort York Residence,Men,2,21
2018-01-01,Fort York Residence,Men,70,74
2018-01-01,Fort York Residence,Men,22,24
2018-01-01,Robertson House,Families,106,90
2018-01-01,S2H Assessment and Referral Ctre,Men,2,2
2018-01-01,S2H Assessment and Referral Ctre,Co-ed,36,40
2018-01-01,Seaton House,Men,28,28
2018-01-01,Seaton House,Men,27,27
2018-01-01,Seaton House,Men,78,80
2018-01-01,Seaton House,Men,63,64
2018-01-01,Seaton House,Men,233,240
2018-01-01,Seaton House,Men,28,42
2018-01-01,Seaton House,Men,100,100
2018-01-01,Women's Residence,Women,32,36
2018-01-01,Women's Residence,Women,9,10
2018-01-01,Women's Residence,Women,12,13
2018-01-01,Women's Residence,Women,101,103
2018-01-01,Cornerstone Place,Men,56,56
2018-01-01,Covenant House,Youth,2,2
2018-01-01,Covenant House,Youth,91,94
2018-01-01,Covenant House,Youth,28,28
2018-01-01,Dixon Hall - Heyworth House,Co-ed,9,9
2018-01-01,Dixon Hall - Heyworth House,Co-ed,74,74
2018-01-01,Dixon Hall - Schoolhouse,Men,40,42
2018-01-01,Eva's Phoenix,Youth,50,50
2018-01-01,Eva's Place,Youth,36,40
2018-01-01,Eva's Satellite,Youth,32,32
2018-01-01,Eva's Satellite,Youth,1,1
2018-01-01,Fife House Transitional Program,Co-ed,5,5
2018-01-01,Fife House Transitional Program,Co-ed,8,11
2018-01-01,FV Women's Transition to Housing,Women,23,23
2018-01-01,FV Women's Transition to Housing,Women,37,37
2018-01-01,Fred Victor Women's Hostel,Women,4,4
2018-01-01,Fred Victor Women's Hostel,Women,41,42
2018-01-01,"Fred Victor, BUS",Co-ed,10,10
2018-01-01,"Fred Victor, BUS",Co-ed,60,60
2018-01-01,Good Shepherd Centre,Men,5,5
2018-01-01,Good Shepherd Centre,Men,65,70
2018-01-01,Good Shepherd Centre,Men,24,25
2018-01-01,HFS - Kennedy Shelter,Women,88,90
2018-01-01,HFS - Savard's Womens' Shelter,Women,29,30
2018-01-01,HFS - Scarborough Shelter,Co-ed,63,67
2018-01-01,HFS - Strachan House,Co-ed,5,5
2018-01-01,HFS - Strachan House,Co-ed,82,83
2018-01-01,Horizons for Youth,Youth,44,45
2018-01-01,Kennedy House Youth shelter,Youth,39,40
2018-01-01,Na-Me-Res,Men,71,71
2018-01-01,Na-Me-Res,Men,19,20
2018-01-01,Eagles Nest Transition House,Youth,11,12
2018-01-01,SVDP - Amelie House,Women,20,20
2018-01-01,SVDP - Elisa House,Women,40,40
2018-01-01,SVDP - Mary's Home,Women,6,6
2018-01-01,SVDP - Mary's Home,Women,38,38
2018-01-01,SVDP - St. Clare's Residence,Women,30,30
2018-01-01,St. Simon's Shelter,Men,5,5
2018-01-01,St. Simon's Shelter,Men,56,57
2018-01-01,Street Haven,Women,46,46
2018-01-01,Street Haven,Women,4,4
2018-01-01,Sojourn House,Families,90,76
2018-01-01,Sojourn House,Co-ed,85,85
2018-01-01,Salvation Army - Evangeline Res,Women,9,9
2018-01-01,Salvation Army - Evangeline Res,Women,90,90
2018-01-01,Salvation Army - Florence Booth,Women,4,4
2018-01-01,Salvation Army - Florence Booth,Women,60,60
2018-01-01,Salvation Army - Gateway,Men,12,12
2018-01-01,Salvation Army - Gateway,Men,108,108
2018-01-01,Salvation Army - Hope,Men,0,0
2018-01-01,Salvation Army - Hope,Men,0,0
2018-01-01,Salvation Army - Maxwell Meighen,Men,45,45
2018-03-21,Eva's Phoenix,Youth,48,50
2018-01-01,Salvation Army - Maxwell Meighen,Men,18,18
2018-01-01,Salvation Army - Maxwell Meighen,Men,270,270
2018-01-01,Salvation Army - Maxwell Meighen,Men,9,10
2018-01-01,Scott Mission Men's Ministry,Men,19,19
2018-01-01,Scott Mission Men's Ministry,Men,53,53
2018-01-01,Toronto Community Hostel,Co-ed,11,13
2018-01-01,Toronto Community Hostel,Families,11,14
2018-01-01,Turning Point Youth Services,Youth,32,35
2018-01-01,Univ Settlement House - OOTC,Co-ed,0,85
2018-01-01,Red Door Queen Street,Families,99,98
2018-01-01,YMCA House,Youth,40,40
2018-01-01,YMCA Sprott House,Youth,24,25
2018-01-01,YWCA - First Stop Woodlawn,Women,28,28
2018-01-01,YWCA - First Stop Woodlawn,Youth,27,28
2018-01-01,Youth Without Shelter,Youth,33,33
2018-01-01,Youth Without Shelter,Youth,20,20
2018-01-02,COSTI Reception Centre,Families,321,330
2018-01-02,COSTI Reception Centre,Co-ed,16,25
2018-01-02,COSTI Reception Centre,Families,323,400
2018-01-02,COSTI Reception Centre,Co-ed,16,16
2018-01-02,Christie Ossington Men's Hostel,Men,5,17
2018-01-02,Christie Ossington Men's Hostel,Men,62,63
2018-01-02,Christie Ossington Men's Hostel,Men,30,30
2018-01-02,Christie Refugee Welcome Centre,Women,0,4
2018-01-02,Christie Refugee Welcome Centre,Families,66,72
2018-01-02,Birchmount Residence,Men,53,60
2018-01-02,Birkdale Residence,Families,172,160
2018-01-02,Birkdale Residence,Families,181,205
2018-01-02,Birkdale Residence,Men,20,36
2018-01-02,Birkdale Residence,Co-ed,1,2
2018-01-02,Downsview Dells,Men,23,28
2018-01-02,Family Residence,Co-ed,0,0
2018-01-02,Family Residence,Families,216,252
2018-01-02,Family Residence,Families,54,48
2018-01-02,Family Residence,Families,172,110
2018-01-02,Family Residence,Families,52,50
2018-01-02,Family Residence,Families,103,125
2018-01-02,Fort York Residence,Co-ed,21,21
2018-01-02,Fort York Residence,Men,1,21
2018-01-02,Fort York Residence,Men,71,74
2018-01-02,Fort York Residence,Men,22,24
2018-01-02,Robertson House,Families,100,90
2018-01-02,S2H Assessment and Referral Ctre,Men,2,2
2018-01-02,S2H Assessment and Referral Ctre,Co-ed,37,40
2018-01-02,Seaton House,Men,28,28
2018-01-02,Seaton House,Men,27,27
2018-01-02,Seaton House,Men,78,80
