"customers","drink"
1,"soft drink"
2,"soft drink"
3,"soft drink"
4,"soft drink"
5,"soft drink"
6,"soft drink"
7,"soft drink"
8,"soft drink"
9,"soft drink"
10,"soft drink"
11,"soft drink"
12,"soft drink"
13,"soft drink"
14,"soft drink"
15,"soft drink"
16,"soft drink"
17,"soft drink"
18,"soft drink"
19,"soft drink"
20,"soft drink"
21,"soft drink"
22,"soft drink"
23,"soft drink"
24,"water"
25,"water"
26,"water"
27,"water"
28,"water"
29,"water"
30,"water"
31,"water"
32,"water"
33,"water"
34,"water"
35,"water"
36,"water"
37,"water"
38,"water"
39,"water"
40,"water"
41,"water"
42,"water"
43,"water"
44,"water"
45,"water"
46,"water"
47,"water"
48,"water"
49,"water"
50,"water"
51,"water"
52,"water"
53,"water"
54,"water"
55,"water"
56,"water"
57,"water"
58,"water"
59,"water"
60,"water"
61,"water"
62,"water"
63,"water"
64,"water"
65,"water"
66,"water"
67,"water"
68,"water"
69,"water"
70,"water"
71,"water"
72,"water"
73,"water"
74,"water"
75,"water"
76,"water"
77,"water"
78,"water"
79,"water"
80,"water"
