"spam","to_multiple","from","cc","sent_email","time","image","attach","dollar","winner","inherit","viagra","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
0,0,1,0,1,2012-01-04 05:19:16,0,0,0,"no",0,0,0,21.705,551,1,1,0,0,8,"small"
0,0,1,0,0,2012-02-16 12:10:06,0,0,0,"no",0,0,0,7.011,183,1,0,0,0,1,"big"
1,0,1,4,0,2012-01-04 07:36:23,0,2,0,"no",0,0,0,0.631,28,0,0,0,0,2,"none"
0,0,1,0,0,2012-01-04 09:49:52,0,0,0,"no",0,0,0,2.454,61,0,0,0,0,1,"small"
0,0,1,0,0,2012-01-27 01:34:45,0,0,9,"no",0,0,1,41.623,1088,1,0,0,0,43,"small"
0,0,1,0,0,2012-01-17 09:31:57,0,0,0,"no",0,0,0,0.057,5,0,0,0,0,0,"small"
0,0,1,0,0,2012-03-17 21:18:55,0,0,0,"no",0,0,0,0.809,17,0,0,0,0,0,"small"
0,0,1,0,1,2012-03-31 06:58:56,0,0,0,"no",0,0,0,5.229,88,1,1,0,0,2,"small"
0,0,1,1,1,2012-01-10 17:57:54,0,0,0,"no",0,0,0,9.277,242,1,1,1,0,22,"small"
0,0,1,0,0,2012-01-07 11:29:16,0,0,23,"no",0,0,0,17.17,578,1,0,0,0,3,"small"
0,0,1,0,0,2012-02-22 16:57:02,0,0,4,"no",0,0,0,64.401,1167,1,0,0,0,13,"small"
0,0,1,0,0,2012-02-04 15:26:09,0,0,0,"no",0,0,2,10.368,198,1,0,0,0,1,"big"
1,0,1,0,0,2012-01-24 08:15:56,0,0,3,"yes",0,0,0,42.793,712,1,0,0,0,2,"big"
1,1,1,0,0,2012-02-08 18:22:46,0,2,2,"no",0,0,0,0.451,24,0,0,0,0,2,"small"
0,0,1,0,0,2012-03-09 10:46:12,0,0,0,"no",0,0,0,29.233,604,1,0,0,0,21,"small"
0,0,1,0,1,2012-01-12 08:17:53,0,0,0,"no",0,0,0,9.794,197,1,1,0,0,10,"small"
0,0,1,0,1,2012-01-31 11:44:22,0,0,0,"no",0,0,0,2.139,60,1,1,0,0,0,"small"
1,0,1,0,0,2012-03-20 19:00:30,0,1,0,"no",0,0,0,0.13,5,0,0,0,0,0,"none"
0,0,1,1,1,2012-01-03 11:39:06,0,0,0,"no",0,0,8,4.945,120,1,0,0,0,2,"small"
0,1,1,4,0,2012-03-28 17:48:08,0,0,2,"no",0,0,0,11.533,291,1,1,0,0,4,"small"
0,0,1,0,0,2012-01-09 07:04:18,0,0,0,"no",0,0,0,5.682,87,1,0,0,0,0,"small"
0,0,1,0,0,2012-01-14 02:07:03,0,0,0,"no",0,0,0,6.768,81,1,0,0,0,3,"small"
0,0,1,0,1,2012-03-24 08:00:57,0,0,0,"no",0,0,0,0.086,5,0,0,1,0,0,"none"
0,0,1,2,1,2012-01-12 13:43:42,0,0,0,"no",0,0,0,3.07,65,1,1,0,0,0,"small"
0,0,1,0,0,2012-03-02 11:05:22,0,0,2,"no",0,0,0,26.52,692,1,0,1,0,7,"big"
0,0,1,0,0,2012-02-15 20:01:40,0,0,0,"no",0,0,0,26.255,654,1,0,0,0,1,"small"
